Titel,URL,Ämnesområde,Förlag/Organisation,Typ,Målgrupp
Tidningen Energi,https://www.energi.se,Energi,Energiföretagen,Branschpress,Energibranschen
Fastighetsfolket,https://www.fastighetsfolket.se,Fastigheter,Fastighetsanställdas förbund,Fackförbundstidning,Fastighetsanställda
Husbyggaren,https://www.husbyggaren.se,Byggnadsteknik,SBR,Branschpress,Byggingenjörer
Dagens Handel,https://www.dagenshandel.se,Handel,Svensk Handel,Branschpress,Handelsbranschen
Restauratören,https://www.restauratoren.se,Restaurang,Visita,Branschpress,Restaurangbranschen
Vi Bilägare,https://www.vibilagare.se,Fordon,Teknikens Värld,Branschpress,Bilintresserade
Trafikmagasinet,https://www.trafikmagasinet.se,Transport/Trafik,NTF,Branschpress,Trafikbranschen
Svensk Farmaci,https://www.svenskfarmaci.se,Läkemedel,Sveriges Farmaceuter,Fackförbundstidning,Farmaceuter
Sjukhusläkaren,https://www.sjukhuslakaren.se,Sjukvård,Sjukhusläkarna,Fackförbundstidning,Sjukhusläkare
Socionomen,https://akademssr.se,Socialt arbete,Akademikerförbundet SSR,Fackförbundstidning,Socionomer
Kyrkans Tidning,https://www.kyrkanstidning.se,Religion/Kyrka,Verbum,Branschpress,Svenska kyrkan
Hem & Hyra,https://www.hemhyra.se,Boende,Hyresgästföreningen,Medlemstidning,Hyresgäster
Dagens Samhälle,https://www.dagenssamhalle.se,Offentlig sektor,Dagens Samhälle,Branschpress,Offentlig sektor
Svensk Veterinärtidning,https://www.svf.se,Veterinärmedicin,Sveriges Veterinärförbund,Fackförbundstidning,Veterinärer
Cirkulation,https://cirkulation.se,VA-teknik,Svenskt Vatten,Branschpress,VA-branschen
Verkstäderna,https://www.verkstaderna.se,Verkstadsindustri,Verkstäderna,Branschpress,Verkstadsindustrin
Svensk Åkeritidning,https://www.akeri.se,Transport/Åkeri,Sveriges Åkeriföretag,Branschpress,Åkeribranschen
Lantbrukets Affärer,https://www.lantbruketsaffarer.se,Lantbruk,Lantbrukets Affärer,Branschpress,Lantbrukare
Dagens Media,https://www.dagensmedia.se,Media/Reklam,Bonnier News,Branschpress,Mediebranschen
Byggfakta Projektnytt,https://www.byggfakta.se,Bygg/Anläggning,Byggfakta,Branschpress,Byggbranschen
Kyla+ Värmepumpar,https://www.kyla.se,Kyla/Värme,Kyla+ Värmepumpar,Branschpress,Kyl- och värmepumpsbranschen
