"Kategori","Namn","Ämnesområden","Typiska Plattformar","Analys av Position"
"Politiska Kommentatorer","Ulf Kristofferson","Politiska analyser, opinionsmätningar.","TV4","Objektiv, fokuserar på data och trender i väljaropinionen."
"Politiska Kommentatorer","Elisabeth Marmorstein","Regeringsfrågor, partiledare.","SVT","Neutral, insiktsfull i dagliga politiska händelser."
"Politiska Kommentatorer","Amanda Sokolnicki","Politik, samhälle, liberalism.","Dagens Nyheter","Liberal, analyserar politik ur ett värderingsbaserat perspektiv."
"Politiska Kommentatorer","Daniel Suhonen","Vänsterpolitik, jämlikhet, fackfrågor.","Katalys, Aftonbladet","Socialdemokratisk, kritisk mot högerpolitik och nyliberalism."
"Politiska Kommentatorer","Fredrik Furtenbach","Politik, riksdagen, lagstiftning.","Sveriges Radio","Neutral, expert på parlamentariska processer."
"Politiska Kommentatorer","Helena Gissén","Inrikespolitik, partier.","SVT","Objektiv, analyserar partiers interna dynamik."
"Politiska Kommentatorer","Anders Pihlblad","Politiska intervjuer, samhälle.","TV4","Neutral, känd för morgonprogram och direkta samtal."
"Politiska Kommentatorer","Jenny Strömstedt","Samhälle, politik, kultur.","TV4","Liberal, blandar personliga reflektioner med analys."
"Politiska Kommentatorer","Pontus Mattsson","Utrikespolitik, säkerhet.","Sveriges Radio","Neutral, fokuserar på internationella relationer."
"Politiska Kommentatorer","Katarina Barrling","Partikultur, ideologi.","Uppsala Universitet, media","Akademisk neutral, analyserar partiers utveckling."
"Politiska Kommentatorer","Jonas Hinnfors","Politikvetenskap, vänsterpolitik.","Göteborgs Universitet, media","Neutral forskare, fokuserar på socialdemokrati."
"Politiska Kommentatorer","Marja Lemne","Offentlig förvaltning, politik.","Stockholms Universitet, media","Neutral, expert på statsvetenskap."
"Politiska Kommentatorer","Jenny Madestam","Partiledare, valrörelser.","Södertörns Högskola, TV","Neutral, ofta i paneldebatter."
"Politiska Kommentatorer","Stig-Björn Ljunggren","Vänsterpolitik, samhälle.","Kolumner, podcast","Socialdemokratisk, humoristisk analys."
"Politiska Kommentatorer","Anders Holmberg","Inrikespolitik, intervjuer.","SVT (programledare Agenda, 30 minuter)","Känd för sin lugna men uthålliga intervjuteknik – en svensk motsvarighet till BBC-hardtalkstil. Gräver efter svar från makthavare med artighet men envishet. Har intervjuat alla tunga politiker och vunnit respekt över blockgränserna. Ideologiskt oberoende (public service), fokuserar på att blottlägga politikers otydligheter. Hans intervjuprogram 30 minuter har blivit ett måste för politikintresserade."
"Ledarskribenter","Peter Wolodarski","Världspolitik, demokrati, liberalism, nationalism, svensk inrikespolitik.","Dagens Nyheter (Chefredaktör)","Sveriges kanske mest inflytelserika liberala röst. Internationalistisk, starkt pro-europeisk och en obeveklig kritiker av populism, nationalism (särskilt Sverigedemokraterna) och auktoritära regimer."
"Ledarskribenter","Tove Lifvendahl","Borgerlig idédebatt, frihet, marknadsekonomi, konservatism.","Svenska Dagbladet (Politisk chefredaktör)","Ledande moderat/liberalkonservativ röst. Argumenterar för individuell frihet, lägre skatter och en starkare försvarsmakt. Formulerar ofta den intellektuella grunden för svensk högerpolitik."
"Ledarskribenter","Anders Lindberg","Välfärdsfrågor, arbetsmarknad, jämlikhet, kritik mot högern.","Aftonbladet (Politisk chefredaktör)","Tydligt socialdemokratisk och fackföreningsnära. Driver en polemisk linje mot borgerlig politik, marknadslösningar i välfärden och försvarar den svenska modellen ur ett vänsterperspektiv."
"Ledarskribenter","Alex Schulman","Kultur, relationer, samtidsobservationer.","Dagens Nyheter","Även om han är kolumnist snarare än politisk ledarskrivent, har han ett enormt inflytande på den urbana medelklassens samtidsförståelse. Hans position är ofta en melankolisk och självutlämnande analys av moderna fenomen och mänskliga relationer."
"Ledarskribenter","Göran Greider","Vänsterdebatt, klassfrågor, miljö, kulturkritik.","Dala-Demokraten (Chefredaktör), Aftonbladet Kultur","En av Sveriges mest profilerade vänsterintellektuella. Klassisk socialist, men med ett starkt inslag av landsbygdsperspektiv och kritik mot urban elitism."
"Ledarskribenter","Åsa Linderborg","Kulturpolitik, klassfrågor, vänsterkritik.","Aftonbladet Kultur (tidigare)","Radikal vänster, kritisk mot elitism och ofta engagerad i kulturdebatter."
"Ledarskribenter","Karin Olsson","Medier, kultur, samhällsdebatt.","Expressen","Liberal, fokuserar på yttrandefrihet och mediekritik."
"Ledarskribenter","Johan Hakelius","Samhällskritik, politik, kultur.","Fokus","Konservativ med humoristisk ton, kritisk mot politisk korrekthet."
"Ledarskribenter","Susanna Silfverskiöld","Borgerlig politik, ekonomi, familjepolitik.","Göteborgs-Posten","Liberal-konservativ, betonar individuella rättigheter och marknadslösningar."
"Ledarskribenter","Hanne Kjöller","Välfärd, rättsväsende, samhällsanalys.","Dagens Nyheter","Liberal, känd för faktagranskning och kritik mot systemfel."
"Ledarskribenter","Patrik Kronqvist","Klimat, energi, politik.","Expressen","Liberal, betonar hållbarhet och marknadslösningar."
"Ledarskribenter","Lydia Wålsten","Ekonomi, borgerlig politik.","Svenska Dagbladet","Konservativ, fokuserar på skatt och näringsliv."
"Ledarskribenter","Jonna Sima","Vänsterdebatt, feminism, samhälle.","Aftonbladet","Socialdemokratisk, engagerad i genus och jämlikhetsfrågor."
"Ledarskribenter","Sakine Madon","Yttrandefrihet, integration, liberalism.","Expressen","Liberal, kritisk mot både vänster och höger extremister."
"Ledarskribenter","Paulina Neuding","Kriminalitet, migration, samhälle.","Kvartal","Konservativ, fokuserar på lag och ordning."
"Ledarskribenter","Erik Helmerson","Religion, etik, samhälle.","Dagens Nyheter","Liberal, ofta filosofisk i sina analyser."
"Ledarskribenter","Malin Lernfelt","Familj, välfärd, liberalism.","Göteborgs-Posten","Liberal, betonar individuella val."
"Ledarskribenter","Andreas Johansson Heinö","Demokrati, integration, politik.","Timbro, Kvartal","Liberal-konservativ, forskarbakgrund i analyser."
"Ledarskribenter","Karin Pihl","Ungdomsfrågor, utbildning.","Göteborgs-Posten","Liberal, kritisk mot statlig styrning."
"Ledarskribenter","Maria Ludvigsson","Borgerlig idédebatt, kultur.","Svenska Dagbladet","Konservativ, elegant i sin prosa."
"Ledarskribenter","Lars Åberg","Integration, samhälle.","Oberoende, böcker","Kritisk mot multikulturalism, oberoende."
"Ledarskribenter","Alice Teodorescu","Borgerlig politik, juridik.","M-ledare, kolumner","Konservativ, betonar rättsstaten."
"Ledarskribenter","Per Lindgren","Kultur, politik.","Aftonbladet","Vänster, litterär bakgrund."
"Ledarskribenter","Anna Dahlberg","Utrikespolitik, säkerhet.","Expressen","Liberal, fokuserar på globala hot."
"Ledarskribenter","Federley Fredrick","EU-politik, liberalism.","Tidigare politiker, media","Liberal, pro-EU."
"Ledarskribenter","Pernilla Ericson","Inrikespolitik, jämställdhet, kriminalpolitik.","Aftonbladet (tidigare ledarskribent), Svenska Dagbladet (ledarskribent)","Socialliberal röst som lyfter feministiska perspektiv och rättsfrågor. Har drivit på debatt om exempelvis mäns våld mot kvinnor och behovet av starkare lagstiftning. Ericsons ton är analytisk och engagerad; hon kombinerar empiri med personlig passion. Som opinionsbildare för hon in frågor om jämlikhet högt på dagordningen."
"Ledarskribenter","Oisin Cantwell","Inrikespolitik, juridik, kriminalfall.","Aftonbladet (kolumnist, kriminalreporter)","Välkänd kolumnist med socialt patos och skarp penna. Belyser orättvisor i rättssystemet, polisfrågor och socialpolitik. Hans stil kan vara bitsk men också eftertänksam med inslag av humor. Återkommande teman är brott och straff, klassklyftor och politikers ansvar. Cantwells analyser anses träffsäkra och läses av många för att förstå komplexa rättsfrågor ur ett mänskligt perspektiv."
"Ledarskribenter","Jan Guillou","Inrikes- och utrikespolitik, försvar, historia.","Aftonbladet (kolumnist), författare","Veteran inom svensk journalistik och skönlitteratur. Som kolumnist på AB är Guillou provokativ och ideologiskt färgad av vänsterantiimperialism. Han skriver med stor självssäkerhet, kritiserar USA och övervakningssamhället och försvarar ofta sekulära, socialdemokratiska ideal. Hans stil är polemisk, med retoriska spetsfundigheter och historiska paralleller."
"Ledarskribenter","Björn Wiman","Kultur, klimat, samhälle.","Dagens Nyheter (kulturchef)","En drivande kulturjournalist som gjort klimatet till en hjärtefråga. Hans söndagsessäer och krönikor knyter ihop kulturfenomen med etik och politik. Wiman argumenterar humanistiskt och moraliskt, ofta om faran med antisemitism eller vikten av klimatkamp. Ideologiskt liberal- humanist, med en alarmistisk ton i klimatfrågan som engagerar många läsare."
"Ledarskribenter","Mattias Svensson","Politik, idédebatt, miljö.","Svenska Dagbladet (ledarskribent)","Libertariansk debattör som givit borgerlig idédebatt nya infallsvinklar. Känd från magasinet Neo och böcker om t.ex. förbudspolitik. På SvD:s ledarsida argumenterar han för individuell frihet, marknadslösningar och ifrågasätter statligt förmynderi (t.ex. alkoholmonopol, miljöregleringar) – samtidigt är han en av få liberala röster som tar klimatfrågan på allvar men förespråkar tekniska innovationer. Hans stil är slagfärdig och kunskapsrik."
"Ledarskribenter","Isobel Hadley-Kamptz","Politik, integritet, tech.","Frilans (tidigare Expressen, Focus)","Liberalt sinnad skribent med integritetsfrågor och socialpolitik som profil. Hon skriver personligt och analytiskt om t.ex. övervakning, drogpolitik och social utsatthet. Hennes ton är reflekterande, ibland litterär. Som oberoende röst (bl.a. på Substack) når hon trogna läsare som uppskattar hennes blandning av intellektuell skärpa och empati."
"Ledarskribenter","Patrik Oksanen","Säkerhetspolitik, försvar, desinformation.","Mittmedia (tidigare politikredaktör), Säkerhetsrådet (SvD)","En av Sveriges mest lästa försvars- och säkerhetspolitiska skribenter under senare år. Tidigt varnade han för rysk desinformation och behovet av stärkt totalförsvar. Oksanen skriver djupa analyser om NATO, cybersäkerhet och psykologiskt försvar. Ideologiskt liberal- konservativ, driver på för robust försvar av demokratin. Flitig i sociala medier och poddar, vilket ger stor spridning."
"Ledarskribenter","Olov Abrahamsson","Politik, norrländskt perspektiv.","NSD (politisk chefredaktör), Arbetet (krönikör)","En respekterad socialdemokratisk röst från norr. Abrahamsson skriver om rikspolitik med regional förankring, ofta försvarande glesbygdens och industrins intressen. Ideologiskt är han arbetarrörelsens klassiske företrädare, med pragmatisk hållning. Hans ledartexter i Norrländska Socialdemokraten når en lokal publik men citeras ibland även nationellt i frågor som gruvnäring, arbetsmarknad och S- partiets kurs."
"Ledarskribenter","Helle Klein","Politik, religion, arbetsliv.","Dagens Arbete (chefredaktör), tidigare Aftonbladet (politisk redaktör)","Socialdemokratisk profil som förenar journalistik och teologi (hon är präst). Som AB AB:s politiske redaktör på 2000-talet formade hon vänsterdebatten; idag leder hon fackförbundspressen med fokus på arbetsmiljö och rättvisa. Hennes texter är passionerade, med etisk dimension – hon knyter kristen solidaritet till politik. Fortfarande en inflytelserik röst inom arbetarrörelsen, ofta aktiv i debatter om pressetik och demokratifrågor."
"Ledarskribenter","Lena Andersson","Samhällsfilosofi, politik.","Dagens Nyheter (kolumnist), författare","En av få kolumnister som regelbundet utlöser kulturdebatt. Andersson skriver essäistiska texter där hon med filosofisk stringens diskuterar moral, religion, könsroller och politik (hon väckte stor debatt med sina ifrågasättanden av metoo). Hon intar ofta ett sekulärt, rationalistiskt perspektiv – ideologiskt svårplacerad men lutar mot klassiskt liberal individualism. Hennes torra, analytiska stil uppskattas av många för intellektuell skärpa, medan andra kritiserar henne som provocerande."
"Ledarskribenter","Per Svensson","Liberal demokrati, högerextremism.","Dagens Nyheter (senior columnist)","Före detta kulturchef på Expressen, nu DN:s “idéredaktör” och ledande röst mot högerpopulism. Svensson skriver långa, historiskt grundade essäer om liberalismens värden, varnar för extremnationalism och försvarar EU, oberoende rättsväsende m.m. Hans språk är akademiskt och elegant. Som författare har han skildrat svenska högerextrema rörelsers historia. Som ideologisk väktare för mittenliberala ideal i offentligheten."
"Ledarskribenter","Lisa Magnusson","Opinion, samhälle.","Dagens Nyheter (ledarskribent)","En liberalt sinnad, ibland libertariansk, ledarskribent känd för sin franka stil och ovilja att väja för känsliga ämnen. Hon har skrivit om allt från tiggeriförbud (där hon intog en impopulär men principiell hållning) till könsroller, ofta med oväntade infallsvinklar. Magnusson argumenterar för individuell frihet och ansvar, kritiserar moralism både från höger och vänster. Hennes provokativa ansatser har gett eko i sociala medier, men hon har en trogen läsekrets som uppskattar hennes klarspråk."
"Ledarskribenter","Sanna Rayman","Politik, välfärd.","Altinget (redaktör), tidigare Svenska Dagbladet (ledarskribent)","En borgerlig skribent med socialliberal ton. På SvD gjorde hon sig känd för vassa kommentarer om allt från integrationspolitik till kulturbråk, ofta med fokus på pragmatiska lösningar. Nu på Altinget (politiknyhetssajt) håller hon den politiska debatten levande i en mer nischad krets. Raymans stil är rappt analytisk, och hon är respekterad även av meningsmotståndare för sin stringens."
"Ledarskribenter","Ann-Charlotte Marteus","Samhälle, självreflektion.","Expressen (ledarskribent)","Hade många år på Expressens ledarsida där hon initialt drev hård linje i invandringskritik, men gjorde en uppmärksammad självkritik 2015 om att hon bidragit till “onödig alarmism”. Denna självreflektion blev mycket läst och respektfullt mottagen. Marteus fortsatte sedan på en mer eftertänksam linje – hon skriver med personlig röst om samhällsutmaningar, där hon förespråkar humanism och förnuft framför polariserande retorik."
"Ledarskribenter","Natalia Kazmierska","Samhälle, populärkultur.","Expressen (kolumnist), tidigare Aftonbladet","En journalist med rötter i kulturjournalistiken som blivit en slagfärdig kolumnist om aktuella samhällsfenomen. Hon kan skriva om allt från dokusåpor till sjukvårdspolitik med personlig vinkel och satir. År 2019 hade en av hennes Aftonbladet- kolumner om kaos i sjukvårdsleveranser näst högst läsning bland kolumnerna. Ideologiskt något vänster, men ofta kritisk mot både regeringar och kulturella trender. Hennes kvicka språkbruk och popkulturella referenser gör hennes texter lättillgängliga."
"Ledarskribenter","Malin Wollin","Familjeliv, samhälle, humor.","Aftonbladet (kolumnist)","En av Aftonbladets mest lästa krönikörer under 2010-talet – hennes vassa, humoristiska textsjok om vardagsliv, relationer och ibland politik engagerade enormt. 2019 skrev hon årets mest lästa kolumn i AB, om bensinupproret, vilken dela"
"Grävande Reportrar","Uppdrag Granskning","Korruption, missförhållanden i offentlig sektor, extremism, näringslivsskandaler.","SVT (Sveriges Television)","En institution, inte en person. Deras metod är att genomföra djupgående, ofta konfrontativa, granskningar. De har ingen egen politisk position, men deras arbete leder ofta till politiska konsekvenser och lagändringar."
"Grävande Reportrar","David Baas","Högerextremism, politiska skandaler, partiernas inre liv.","Expressen","Har genomfört en rad uppmärksammade avslöjanden om Sverigedemokraterna och andra partier. Hans journalistik är faktabaserad och ofta beroende av anonyma källor och dold research."
"Grävande Reportrar","Carolina Jemsby","Välfärdsfrågor, skola, sjukvård, missförhållanden.","Kalla Fakta (TV4)","Känd för sina reportage som ofta belyser hur systemfel drabbar enskilda individer. Hon ger röst åt de svaga och hennes arbete har lett till flera debatter om välfärdens utformning."
"Grävande Reportrar","Andreas Cervenka","Näringsliv, ekonomisk ojämlikhet, riskkapital, fastighetsmarknaden.","Aftonbladet (tidigare SvD)","Sveriges ledande kritiska ekonomijournalist. Hans position är att granska maktkoncentrationen i näringslivet och hur finansmarknaden påverkar vanliga människor. Boken ""Girig-Sverige"" är ett landmärke."
"Grävande Reportrar","Janne Josefsson","Korruption, myndighetsmissbruk, samhällsgranskning.","SVT Uppdrag Granskning","Objektiv public service, känd för konfrontativa intervjuer och djupgående reportage."
"Grävande Reportrar","Fredrik Laurin","Internationell korruption, miljöbrott, säkerhet.","SVT, ICIJ","Internationellt orienterad, fokuserar på globala granskningar med faktabaserad approach."
"Grävande Reportrar","Bo-Göran Bodin","Politiska skandaler, ekonomi, samhälle.","Sveriges Radio","Neutral, specialiserad på ljudbaserad journalistik och djupintervjuer."
"Grävande Reportrar","Carolina Neurath","Ekonomi, finansskandaler, näringsliv.","SVT, böcker","Kritisk mot finanseliten, betonar transparens och rättvisa."
"Grävande Reportrar","Mathias Ståhle","Extremism, rasism, samhällsfrågor.","Expressen","Fokuserar på högerextremism, använder undercover-metoder."
"Grävande Reportrar","Ali Fegan","Samhällsgranskning, extremism.","SVT Uppdrag Granskning","Objektiv, känd för avslöjanden inom politik och samhälle."
"Grävande Reportrar","Joachim Dyfvermark","Korruption, vapenhandel.","SVT","Internationellt fokuserad, granskar globala affärer."
"Grävande Reportrar","Linda Larsson Kakuli","Välfärd, missförhållanden.","TV4 Kalla Fakta","Fokuserar på sociala frågor och enskilda öden."
"Grävande Reportrar","Daniel Öhman","Miljö, djurrätt, samhälle.","Sveriges Radio","Kritisk mot industrier, använder faktabaserad research."
"Grävande Reportrar","Monica Saarinen","Politik, samhälle.","Sveriges Radio Ekot","Neutral, specialiserad på inrikes nyhetsgranskning."
"Grävande Reportrar","Trond Sefastsson","Korruption, politik.","TV4 Kalla Fakta","Erfaren, fokuserar på politiska affärer."
"Grävande Reportrar","Lars Åström","Ekonomi, skandaler.","SVT","Neutral, granskar finansiella oegentligheter."
"Grävande Reportrar","Karin Mattisson","Samhälle, välfärd.","SVT Uppdrag Granskning","Fokuserar på sociala systemfel."
"Grävande Reportrar","Ulf Johansson","Politik, extremism.","SVT","Känd för långa granskningar."
"Grävande Reportrar","Anna Jaktell","Miljö, hälsa.","Sveriges Radio","Kritisk mot industrier och myndigheter."
"Grävande Reportrar","Hasse Aro","Kriminalitet, samhälle.","TV3 Efterlyst","Neutral, fokuserar på brottsoffer."
"Grävande Reportrar","Diamant Salihu","Gängkriminalitet, samhälle.","SVT","Fokuserar på urbana problem."
"Grävande Reportrar","Lasse Wierup","Organiserad brottslighet.","Böcker, DN","Kritisk mot kriminalpolitik."
"Grävande Reportrar","Federico Moreno","Samhälle, integration.","Göteborgs-Posten","Granskar lokala frågor."
"Grävande Reportrar","Kerstin Weigl","Våld mot kvinnor, samhälle.","Aftonbladet","Feministisk vinkel på granskningar."
"Grävande Reportrar","Niklas Orrenius","Undersökande journalistik, extremism, integration.","Dagens Nyheter (reporter)","En av Sveriges mest prisade reportrar, känd som en “journalistisk fyrbåk i samhällsmörkret” enligt motiveringar . Orrenius skriver djuplodande reportage om främlingsfientlighet, religiös extremism och hot mot demokrati. Hans stil präglas av lugn, empatisk närvaro och klinisk precision  – han ger röst åt utsatta samtidigt som han granskar maktmissbruk. Hans arbeten om t.ex. nazism och terror har stor genomslagskraft och har belönats med bl.a. Stora Journalistpriset."
"Grävande Reportrar","Matilda Gustavsson","Undersökande kulturjournalistik.","Dagens Nyheter (reporter)","Blev rikskänd 2017–2018 genom sin granskning av Kulturprofilen och Svenska Akademien. Hennes metodiska avslöjanden om sexövergrepp inom kulturvärlden startade #metoo i Sverige och gav henne Stora Journalistpriset. Gustavssons journalistik kombinerar kulturkunskap med undersökande skärpa. Hon fortsätter bevaka maktmissbruk i kultursektorn med ett elegant men oförskräckt språk."
"Grävande Reportrar","Bilan Osman","Antirasism, högerextremism.","Expo (journalist)","En stark ung röst som bevakar den svenska extremhögern och islamofobin. Osman skriver i tidskriften Expo och i kolumner (ibland i mainstream-press) om hatideologier och integrationsfrågor. Hon är frispråkig och ideologiskt antirasistisk, med fokus på att ge röst åt muslimer och minoriteter som utsätts för hat. Genom folkbildning och tydligt ställningstagande har hon blivit en ledande opinionsbildare mot rasism."
"Grävande Reportrar","Josefine Hökerberg","Undersökande journalistik, lokal samhälle.","Dagens Nyheter (reporter)","Belönad DN-journalist som avslöjade missförhållanden kring barn med skyddade identiteter som isolerades (fallet “Lilla hjärtat” m.fl.). Hennes gräv 2022 om barn som hölls gömda i Husby under sektliknande former blev ett av årets mest uppmärksammade reportage. Hökerberg fokuserar på sociala skyddsfrågor och lyckas ofta få fram förtroenden från sårbara människor. Hennes texter är gripande men också skarpa i kritiken mot myndigheter – klassisk granskning i modernt snitt som genererar bred läsning."
"Grävande Reportrar","Kerstin Weigl & Kristina Edblom","Socialreportage, kvinnovåld.","Aftonbladet (reportersduo)","Dessa två reportrar drev det fleråriga projektet “Det dödliga våldet mot kvinnor” i AB, där de namngav alla kvinnor som dödats av män under 2000-talet. Projektet blev banbrytande och belönades med Stora Journalistpriset 2018. Weigl och Edblom gav ansikten åt statistik och förändrade den offentliga debatten om våld i nära relationer. Deras journalistik är djupt empatisk, noggrann och ihärdig – vilket resulterade i att ämnet prioriterades politiskt och av allmänheten."
"Grävande Reportrar","Gellert Tamas","Undersökande journalistik, sociala frågor.","Författare, dokumentärfilmare","Skrev reportageboken Lasermannen och De apatiska barnen, som båda ledde till enorm debatt. Även om han inte dagligen syns i pressen är Tamas en av de mest lästa grävande journalisterna i bokform – han populariserade “journalistik mellan pärmarna”. Han arbeten kring främlingsfientlighet och övergrepp mot invandrare har påverkat policy och opinion djupt. Tamas är tydligt antirasistisk och moraliskt indignerad i sin stil, men bygger alltid på gedigen research."
"Grävande Reportrar","Björn af Kleen","Feature, makt och elit.","Dagens Nyheter (feature-reporter)","Känd för långa reportage om den svenska makteliten – adeln, finansfamiljer, politiska dynastier. Hans penna är skarp men elegant; han avslöjar ofta hyckleri eller maktmissbruk i samhällets toppskikt genom personporträtt (t.ex. om kungens vänner i Skandiaaffären, eller SD:s framgångsrika donatorer). Björn af Kleens texter läses flitigt av den politiskt intresserade allmänheten och han har fått stor respekt för att kasta ljus på de miljöer som annars undgår granskning."
"Nya Medieprofiler","Henrik Jönsson","Libertarianism/konservatism, systemkritik, entreprenörskap, teknik.","YouTube, Substack","En av de mest framträdande rösterna på den nya högern. Kritiserar vad han ser som statlig överreglering, ""woke""-kultur och medieetablissemanget. Hans position är starkt individualistisk och teknikoptimistisk."
"Nya Medieprofiler","Irena Požar","Samtidsanalys, feminism, kultur, politik ur ett yngre perspektiv.","Svenska Dagbladet (tidigare chefredaktör Veckorevyn)","En inflytelserik millenial-röst som ofta analyserar politik och samhälle utifrån ett feministiskt och kulturorienterat perspektiv. Skarp och ofta med ett underifrånperspektiv."
"Nya Medieprofiler","Kvartal (redaktionen)","Fördjupande samhällsanalys, idédebatt, mediekritik.","Podcast, webbplats","En plattform som intar en position mellan traditionell media och nya medier. Positionerar sig som ""förnuftig"" och ""nyanserad"" med en tydlig kritik mot vad de uppfattar som aktivism och bristande konsekvensanalys i etablerad media. Lutar generellt åt det liberalkonservativa hållet."
"Nya Medieprofiler","Hanif Bali","Politik, migration, konservatism.","X (Twitter), podcast","Högerorienterad, kritisk mot vänsterpolitik och ofta provokativ."
"Nya Medieprofiler","Chang Frick","Samhällsdebatt, politik, nyheter.","Nyheter Idag, YouTube","Högerpopulistisk, utmanar etablerade medier med alternativa vinklar."
"Nya Medieprofiler","Jonas Gardell","Kultur, politik, HBTQ-frågor.","Sociala medier, böcker","Vänsterliberal, engagerad i sociala rättvisefrågor med personlig touch."
"Nya Medieprofiler","Navid Modiri","Integration, dialog, samhälle.","Podcast, YouTube","Neutral, främjar samtal över politiska gränser."
"Nya Medieprofiler","Brit Stakston","Digitalisering, medier, demokrati.","Podcast, Substack","Liberal, expert på digitala medier och deras påverkan på samhället."
"Nya Medieprofiler","Aron Flam","Politik, humor, samhällskritik.","Podcast, YouTube","Libertariansk, använder satir för att kritisera etablissemanget."
"Nya Medieprofiler","Malena Ernman","Klimat, politik, kultur.","Sociala medier","Vänsterorienterad, engagerad i miljöfrågor."
"Nya Medieprofiler","Pascalidou Alexandra","Feminism, integration, kultur.","Podcast, Instagram","Liberal, fokuserar på mångfald och rättvisa."
"Nya Medieprofiler","Jens Ganman","Samhällskritik, politik.","YouTube, Substack","Högerkritisk mot mainstream media och politik."
"Nya Medieprofiler","Ebba Witt-Brattström","Feminism, litteratur, politik.","Podcast, sociala medier","Vänsterfeministisk, akademisk bakgrund i debatter."
"Nya Medieprofiler","Kakan Hermansson","Feminism, kultur, politik.","Podcast, Instagram","Radikal vänster, använder humor och provokation."
"Nya Medieprofiler","Viktor Adolphson","Polisfrågor, kriminalitet.","X (Twitter)","Konservativ, baserad på poliserfarenhet."
"Nya Medieprofiler","Soraya Hashim","Samhälle, integration.","Podcast","Liberal, fokuserar på mångkultur."
"Nya Medieprofiler","Thomas Gür","Politik, ekonomi.","Facebook, kolumner","Liberal-konservativ, invandringskritisk."
"Nya Medieprofiler","Amelia Andersdotter","Digitala rättigheter, politik.","Blogg, YouTube","Libertariansk, expert på internetfrihet."
"Nya Medieprofiler","Isabella Lövin","Klimat, politik.","Sociala medier","Miljöpartistisk, engagerad i hållbarhet."
"Nya Medieprofiler","Gustav Fridolin","Utbildning, politik.","Podcast","Vänsterliberal, fokus på skola."
"Nya Medieprofiler","Annie Lööf","Liberalism, entreprenörskap.","Instagram, X","Liberal, betonar landsbygd och företagande."
"Nya Medieprofiler","Jimmie Åkesson","Nationell politik, migration.","YouTube, X","Nationalkonservativ, leder SD-debatten."
"Nya Medieprofiler","Nooshi Dadgostar","Vänsterpolitik, jämlikhet.","Sociala medier","Socialistisk, fokuserar på arbetarrätt."
"Nya Medieprofiler","Emanuel Karlsten","Medier, teknik, internet.","Breakit, Mediepodden, frilans","Oberoende journalist specialiserad på sociala medier och digital kultur. Blev allmänt känd under pandemin genom att samla och analysera covid-statistik åt allmänheten via sin blogg, vilket gav honom enorm räckvidd online. Karlstens stil är nyfiken, förklarande och faktagranskande – han reder ut desinformation och följer trender på internet. Har också lett projekt som Medieakademins Maktbarometer. Ett respekterat namn inom både tech- och mediesfären."
